concept_id,name,n_tk_forms,n_an_forms,tk_mean_len,an_mean_len,abs_delta_mean_len,an_length_band,sca,ned,sca_hit,ned_hit
five,FIVE,5,80,3.6,4.9875,1.3874999999999997,5,0.47411216234745657,0.5733333333333334,0,0
where,WHERE,40,80,5.875,4.9375,0.9375,5,0.34821550418767017,0.6503427128427128,1,0
heavy,HEAVY,18,80,3.7222222222222223,6.4125,2.6902777777777773,6,0.3543081380792741,0.5686507936507936,1,0
cry,CRY,19,80,4.7894736842105265,5.7625,0.9730263157894736,6,0.33330674566864893,0.5978279030910609,1,0
sharp,SHARP,36,80,3.75,6.5125,2.7625,7,0.4170989611569322,0.5861772486772486,0,0
near,NEAR,34,80,3.8529411764705883,6.5875,2.734558823529412,7,0.4690387222797951,0.6658263305322129,0,0
they,THEY,40,80,6.175,4.7125,1.4624999999999995,5,0.44376148233993257,0.6730257936507936,0,0
year,YEAR,22,80,3.590909090909091,5.6,2.009090909090909,6,0.27093144229507865,0.5970779220779221,1,0
you,YOU,39,80,5.3076923076923075,5.0375,0.27019230769230784,5,0.38439141507188845,0.576027676027676,1,0
grass,GRASS,28,80,3.5,5.7125,2.2125000000000004,6,0.4210337740080791,0.6464285714285715,0,0
flower,FLOWER,21,80,4.9523809523809526,5.7625,0.8101190476190476,6,0.39233522994996817,0.6514172335600907,1,0
short,SHORT,30,80,3.6333333333333333,6.3375,2.704166666666667,6,0.30367200421499063,0.6073015873015873,1,0
salt,SALT,29,80,3.586206896551724,5.1125,1.5262931034482756,5,0.3119656883052109,0.634975369458128,1,0
seven,SEVEN,28,80,3.5714285714285716,5.95,2.3785714285714286,6,0.375450831220062,0.6296768707482993,1,0
six,SIX,21,80,3.4761904761904763,5.725,2.2488095238095234,6,0.4640563404849119,0.6769789734075449,0,0
ten,TEN,23,80,3.3043478260869565,6.1875,2.8831521739130435,6,0.364424850511807,0.6605590062111801,1,0
eight,EIGHT,21,80,4.142857142857143,5.4875,1.3446428571428566,5,0.4836814041856059,0.6730158730158731,0,0
nine,NINE,22,80,3.4545454545454546,5.575,2.1204545454545456,6,0.481030310016324,0.559469696969697,0,0
narrow,NARROW,30,80,4.0,7.05,3.05,7,0.42540981713945514,0.6357034632034632,0,0
snake,SNAKE,16,80,3.8125,5.1,1.2874999999999996,5,0.4288024475524476,0.6004712301587302,0,0
forest,FOREST,30,80,6.033333333333333,6.1875,0.15416666666666679,6,0.3953208182414677,0.6643335368335368,1,0
wife,WIFE,34,80,5.205882352941177,6.6625,1.456617647058823,7,0.4538972084442569,0.56198752228164,0,0
husband,HUSBAND,34,80,5.764705882352941,6.5625,0.7977941176470589,7,0.3616912140295159,0.6159197012138189,1,0
intestines,INTESTINES,29,80,4.379310344827586,6.075,1.6956896551724139,6,0.3516469058238445,0.6078643578643579,1,0
steal,STEAL,24,80,4.5,6.225,1.7249999999999996,6,0.38307792697498577,0.5934027777777777,1,0
shoulder,SHOULDER,23,80,4.826086956521739,6.225,1.3989130434782604,6,0.38478409179078077,0.6106107660455486,1,0
buy,BUY,25,80,3.52,5.6,2.0799999999999996,6,0.3873099789099789,0.6886666666666666,1,0
open,OPEN,31,80,4.096774193548387,5.8625,1.7657258064516128,6,0.41427017427017426,0.6273809523809524,0,0
fog,FOG,31,80,5.290322580645161,6.025,0.7346774193548393,6,0.3511483203703318,0.6151433691756272,1,0
choose,CHOOSE,34,80,4.176470588235294,5.9125,1.7360294117647053,6,0.4332954401053949,0.6654411764705882,0,0
hundred,HUNDRED,22,80,4.2272727272727275,8.4125,4.185227272727272,ge8,0.5839951268622597,0.7363636363636363,0,0
mother,MOTHER,16,80,4.1875,4.8875,0.7000000000000002,5,0.3472458791208791,0.5477678571428571,1,0
father,FATHER,16,80,4.5,4.8125,0.3125,5,0.43236888111888117,0.6541666666666667,0,0
sew,SEW,28,80,4.214285714285714,5.775,1.560714285714286,6,0.37459029523589965,0.6532312925170068,1,0
climb,CLIMB,33,80,5.848484848484849,5.575,0.27348484848484844,6,0.3675728331393947,0.6460393983121255,1,0
hear,HEAR,40,80,5.425,6.325,0.9000000000000004,6,0.431172812737724,0.6462103174603174,0,0
smokeexhaust,SMOKE (EXHAUST),30,80,4.9,5.3125,0.41249999999999964,5,0.3095335715725094,0.581005291005291,1,0
stand,STAND,31,80,3.5161290322580645,6.0875,2.571370967741936,6,0.4586661985008942,0.6706989247311828,0,0
sit,SIT,20,80,3.4,6.3375,2.9375000000000004,6,0.34063286713286717,0.5865476190476191,1,0
louse,LOUSE,23,80,3.9130434782608696,4.75,0.8369565217391304,5,0.3755392339866904,0.5711180124223603,1,0
see,SEE,23,80,4.608695652173913,5.5125,0.9038043478260871,6,0.3293629640737648,0.5762422360248447,1,0
feather,FEATHER,24,80,4.416666666666667,5.9,1.4833333333333334,6,0.45909489988392704,0.6429728835978836,0,0
that,THAT,21,80,4.285714285714286,4.5875,0.30178571428571477,5,0.32056157517695977,0.601360544217687,1,0
this,THIS,17,80,4.529411764705882,4.375,0.15441176470588225,le4,0.2047247274063883,0.40630252100840336,1,0
belly,BELLY,11,80,3.6363636363636362,5.4375,1.8011363636363638,5,0.24086524198412312,0.5575757575757576,1,0
back,BACK,27,80,6.111111111111111,6.125,0.013888888888889284,6,0.4328471278735231,0.6357142857142857,0,0
house,HOUSE,28,80,3.9285714285714284,4.8625,0.9339285714285714,5,0.37294433130971594,0.5654761904761905,1,0
stone,STONE,20,80,3.7,4.975,1.2749999999999995,5,0.3746174730247128,0.6958333333333333,1,0
spit,SPIT,22,80,5.181818181818182,5.8875,0.7056818181818185,6,0.32378454878454876,0.6045995670995671,1,0
rotten,ROTTEN,26,80,3.5,5.9625,2.4625000000000004,6,0.4571010055033724,0.6337454212454212,0,0
dust,DUST,29,80,4.724137931034483,6.55,1.8258620689655167,7,0.36722092298055786,0.5958949096880132,1,0
correctright,CORRECT (RIGHT),23,80,4.217391304347826,6.025,1.8076086956521742,6,0.33003812612508265,0.6004140786749482,1,0
liedown,LIE DOWN,31,80,4.387096774193548,6.5875,2.2004032258064523,7,0.41824470676827996,0.6626737957383119,0,0
how,HOW,40,80,6.525,6.375,0.15000000000000036,6,0.39306985761268165,0.6730555555555555,1,0
blunt,BLUNT,37,80,3.918918918918919,6.8,2.881081081081081,7,0.35846322837273065,0.6346846846846846,1,0
wide,WIDE,19,80,4.894736842105263,6.925,2.030263157894737,7,0.36495641094330006,0.5878446115288221,1,0
sea,SEA,18,80,5.722222222222222,5.15,0.572222222222222,5,0.39733574870621735,0.5753723128723128,1,0
fall,FALL,17,80,3.9411764705882355,5.7625,1.8213235294117647,6,0.23870656300786727,0.492156862745098,1,0
count,COUNT,13,80,3.3846153846153846,5.775,2.3903846153846158,6,0.2863458435056068,0.5423076923076923,1,0
dig,DIG,30,80,4.066666666666666,5.7125,1.645833333333334,6,0.45937906110983034,0.6021428571428571,0,0
mosquito,MOSQUITO,18,80,4.5,6.0375,1.5374999999999996,6,0.39084974937916117,0.6376322751322752,1,0
when,WHEN,40,80,6.45,6.425,0.025000000000000355,6,0.432413041144376,0.6572321428571428,0,0
squeeze,SQUEEZE,27,80,3.2962962962962963,5.9125,2.6162037037037034,6,0.43032733377650156,0.6594356261022928,0,0
throw,THROW,36,80,3.7777777777777777,6.125,2.3472222222222223,6,0.35031770698437364,0.6607142857142857,1,0
spider,SPIDER,36,80,7.444444444444445,7.4,0.04444444444444429,7,0.4460918884244443,0.6075507054673721,0,0
dreamsomething,DREAM (SOMETHING),33,80,6.484848484848484,6.575,0.09015151515151576,7,0.4795101218932651,0.7018256154619791,0,0
warm,WARM,26,80,3.923076923076923,6.775,2.8519230769230774,7,0.3807276845442526,0.6291625041625042,1,0
flow,FLOW,24,80,3.5833333333333335,5.875,2.2916666666666665,6,0.3264474094281787,0.5880952380952381,1,0
and,AND,30,80,3.6,3.825,0.2250000000000001,le4,0.3236008991008991,0.6005555555555555,1,0
