language_id,name,glottocode,clade,glottolog_path,n_forms
abvdoceanic-Mbirao_548,Mbirao,bira1254,oceanic,aust1307/mala1545/east2712/ocea1241/sout2853/guad1241/sout2854/bira1254,191
abvdoceanic-Langalanga_549,Langalanga,wala1266,oceanic,aust1307/mala1545/east2712/ocea1241/sout2853/mala1485/mala1540/mala1542/nort2833/wala1266,176
abvdoceanic-Kwai_550,Kwai,gula1270,oceanic,aust1307/mala1545/east2712/ocea1241/sout2853/mala1485/mala1540/mala1542/nort2833/gula1270,171
abvdoceanic-LaghuSamasodu_553,Laghu (Samasodu),lagh1246,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/west2523/lagh1246,198
abvdoceanic-NggaoPoro_555,Nggao (Poro),gaoo1237,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/sant1458/east2452/gaoo1237,181
abvdoceanic-Oroha_557,Oroha,oroh1237,oceanic,aust1307/mala1545/east2712/ocea1241/sout2853/mala1485/mala1540/mala1542/sout3198/oroh1237,175
abvdoceanic-Longgu_561,Longgu,long1395,oceanic,aust1307/mala1545/east2712/ocea1241/sout2853/mala1485/long1395,213
abvdoceanic-Lengo_563,Lengo,leng1259,oceanic,aust1307/mala1545/east2712/ocea1241/sout2853/guad1241/nucl1470/nort2832/leng1259,224
abvdoceanic-Mbaelelea_564,Mbaelelea,bael1237,oceanic,aust1307/mala1545/east2712/ocea1241/sout2853/mala1485/mala1540/mala1542/nort2833/nort3284/bael1237,179
abvdoceanic-Mbaengguu_565,Mbaengguu,baeg1237,oceanic,aust1307/mala1545/east2712/ocea1241/sout2853/mala1485/mala1540/mala1542/nort2833/nort3284/baeg1237,190
abvdoceanic-Fataleka_566,Fataleka,fata1245,oceanic,aust1307/mala1545/east2712/ocea1241/sout2853/mala1485/mala1540/mala1542/nort2833/nort3284/fata1245,174
abvdoceanic-SaaAuluVillage_576,Sa'a (A'ulu Village),saaa1240,oceanic,aust1307/mala1545/east2712/ocea1241/sout2853/mala1485/mala1540/saaa1240,208
abvdoceanic-Blablanga_580,Blablanga,blab1237,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/sant1458/cent2063/zaza1247/blab1237,171
abvdoceanic-ArosiTawatanaVillage_584,Arosi (Tawatana Village),aros1241,oceanic,aust1307/mala1545/east2712/ocea1241/sout2853/mala1485/mala1540/sanc1243/aros1241,187
