rank,concept_id,name,concepticon_gloss,concepticon_id,n_tk,n_an,min_langs,core_pilot
330,with,WITH,WITH,1340,19,61,19,1
331,run,RUN,RUN,1519,45,18,18,1
332,lip,LIP,LIP,478,26,18,18,1
333,fence,FENCE,FENCE,1690,25,18,18,1
334,north,NORTH,NORTH,1598,23,18,18,1
335,child,CHILD,CHILD,2099,18,935,18,1
336,stab,STAB,STAB,1434,18,822,18,1
337,maleperson,MALE PERSON,MALE PERSON,2106,18,812,18,1
338,stick,STICK,STICK,1295,18,777,18,1
339,workactivity,WORK (ACTIVITY),WORK (ACTIVITY),1086,18,776,18,1
340,fasten,FASTEN,FASTEN,1094,18,742,18,1
341,swell,SWELL,SWELL,1573,18,739,18,1
342,cutwithscissors,CUT (WITH SCISSORS),CUT (WITH SCISSORS),2155,18,76,18,1
343,scorpion,SCORPION,SCORPION,1538,18,65,18,1
344,womb,WOMB,WOMB,804,18,21,18,1
345,path,PATH,PATH,2252,35,17,17,1
346,burnsomething,BURN (SOMETHING),BURN (SOMETHING),141,25,17,17,1
347,magic,MAGIC,MAGIC,392,20,17,17,1
348,banana,BANANA,BANANA,868,17,111,17,1
349,island,ISLAND,ISLAND,622,17,88,17,1
350,cape,CAPE,CAPE,1662,17,75,17,1
351,finger,FINGER,FINGER,1303,44,16,16,1
352,elbow,ELBOW,ELBOW,981,42,16,16,1
353,hairbody,HAIR (BODY),HAIR (BODY),189,40,16,16,1
354,oldman,OLD MAN,OLD MAN,406,26,16,16,1
355,oldwoman,OLD WOMAN,OLD WOMAN,907,26,16,16,1
356,maternalauntmotherssister,MATERNAL AUNT (MOTHER'S SISTER),MATERNAL AUNT (MOTHER'S SISTER),2693,25,16,16,1
357,owl,OWL,OWL,735,24,16,16,1
358,rat,RAT,RAT,1490,16,838,16,1
359,crocodile,CROCODILE,CROCODILE,1857,16,83,16,1
360,taro,TARO,TARO,351,16,82,16,1
361,look,LOOK,LOOK,1819,62,15,15,1
362,friend,FRIEND,FRIEND,1325,59,15,15,1
363,carry,CARRY,CARRY,700,45,15,15,1
364,buttocks,BUTTOCKS,BUTTOCKS,834,44,15,15,1
365,take,TAKE,TAKE,1749,43,15,15,1
366,lookfor,LOOK FOR,LOOK FOR,1468,41,15,15,1
367,nasalmucussnot,NASAL MUCUS (SNOT),NASAL MUCUS (SNOT),208,41,15,15,1
368,heorsheorit,HE OR SHE OR IT,HE OR SHE OR IT,262,27,15,15,1
369,beside,BESIDE,BESIDE,1816,26,15,15,1
370,throat,THROAT,THROAT,1346,26,15,15,1
371,upperlegthigh,UPPER LEG (THIGH),UPPER LEG (THIGH),471,26,15,15,1
372,brother,BROTHER,BROTHER,1262,25,15,15,1
373,daughterinlaw,DAUGHTER-IN-LAW,DAUGHTER-IN-LAW,1057,16,15,15,1
